ward_code,year,month,pred_ensemble,risk_category,additional_officers,total_officers,operation_type,duration_weeks,estimated_cost,priority_score
E05013808,2024,1,44.199047,Critical,176,276,Critical Intervention,4,28160,121.98936971999998
E05013808,2024,11,42.7477,Critical,170,270,Critical Intervention,4,27200,115.41879000000002
E05013801,2024,9,40.416096,Critical,160,260,Critical Intervention,4,25600,105.08184960000001
E05013806,2024,1,33.668552,Critical,134,234,Critical Intervention,4,21440,78.78441167999999
E05013806,2024,5,32.285957,Critical,128,228,Critical Intervention,4,20480,73.61198196000002
E05013806,2024,11,31.557524,Critical,126,226,Critical Intervention,4,20160,71.32000423999999
E05013653,2024,11,28.396406,Critical,112,212,Critical Intervention,4,17920,60.20038072
E05013503,2024,1,26.737122,Critical,106,206,Critical Intervention,4,16960,55.07847132
E05013662,2023,12,25.57988,Critical,102,202,Critical Intervention,4,16320,51.6713576
E05013798,2022,11,25.333345,Critical,100,200,Critical Intervention,4,16000,50.66669
E05013662,2024,9,24.583954,Critical,98,198,Critical Intervention,4,15680,48.67622892
E05013631,2023,9,23.749563,Critical,94,194,Critical Intervention,4,15040,46.074152219999995
E05013716,2020,12,23.077929,Critical,92,192,Critical Intervention,4,14720,44.30962368
E05013503,2024,5,22.446217,Critical,88,188,Critical Intervention,4,14080,42.19888796
E05011095,2024,11,21.978052,Critical,86,186,Critical Intervention,4,13760,40.879176720000004
E05009377,2024,11,21.818691,Critical,86,186,Critical Intervention,4,13760,40.58276526
E05013798,2023,8,21.670862,Critical,86,186,Critical Intervention,4,13760,40.30780332
E05013596,2021,7,21.305962,Critical,84,184,Critical Intervention,4,13440,39.20297008
E05013719,2020,11,20.962074,Critical,82,182,Critical Intervention,4,13120,38.15097468
E05011098,2023,9,20.906738,Critical,82,182,Critical Intervention,4,13120,38.05026316
E05013730,2021,9,20.795399,Critical,82,182,Critical Intervention,3,9840,37.84762618
E05013793,2023,8,20.142601,Critical,80,180,Critical Intervention,3,9600,36.2566818
E05013643,2022,1,20.061935,Critical,80,180,Critical Intervention,3,9600,36.111483
E05011113,2024,1,19.970856,Critical,78,178,Critical Intervention,3,9360,35.54812368
E05013596,2021,12,19.954966,Critical,78,178,Critical Intervention,3,9360,35.51983948
E05013679,2024,1,19.91767,Critical,78,178,Critical Intervention,3,9360,35.453452600000006
E05013924,2024,10,19.752378,Critical,78,178,Critical Intervention,3,9360,35.15923284
E05013716,2024,1,19.541609,Critical,78,178,Critical Intervention,3,9360,34.78406402
E05009331,2024,2,19.521042,Critical,78,178,Critical Intervention,3,9360,34.747454760000004
E05009331,2024,12,19.410452,Critical,76,176,Critical Intervention,3,9120,34.16239552
E05014115,2020,11,19.18807,Critical,76,176,Critical Intervention,3,9120,33.7710032
E05009317,2023,11,19.177114,Critical,76,176,Critical Intervention,3,9120,33.75172064
E05009319,2024,11,19.042215,Critical,76,176,Critical Intervention,3,9120,33.5142984
E05013793,2024,10,18.826662,Critical,74,174,Critical Intervention,3,8880,32.75839188
E05013503,2024,9,18.672798,Critical,74,174,Critical Intervention,3,8880,32.49066852
E05009381,2024,2,18.560196,Critical,74,174,Critical Intervention,3,8880,32.294741040000005
E05011104,2023,9,18.49578,Critical,72,172,Critical Intervention,3,8640,31.8127416
E05014017,2021,11,18.380453,Critical,72,172,Critical Intervention,3,8640,31.61437916
E05014002,2023,11,18.328081,Critical,72,172,Critical Intervention,3,8640,31.52429932
E05013631,2024,3,18.269405,Critical,72,172,Critical Intervention,3,8640,31.423376599999997
E05013716,2024,8,18.117933,Critical,72,172,Critical Intervention,3,8640,31.162844760000002
E05009370,2024,1,17.9709,Critical,70,170,Critical Intervention,3,8400,30.55053
E05013631,2024,12,17.921206,Critical,70,170,Critical Intervention,3,8400,30.4660502
E05011098,2024,12,17.856205,Critical,70,170,Critical Intervention,3,8400,30.355548499999998
E05009330,2020,11,17.714188,Critical,70,170,Critical Intervention,3,8400,30.1141196
E05013719,2023,7,17.692421,Critical,70,170,Critical Intervention,3,8400,30.077115699999997
E05013796,2023,9,17.670664,Critical,70,170,Critical Intervention,3,8400,30.040128799999998
E05009317,2024,12,17.657894,Critical,70,170,Critical Intervention,3,8400,30.018419799999997
E05009336,2024,12,17.599419,Critical,70,170,Critical Intervention,3,8400,29.919012300000002
E05013643,2022,12,17.585974,Critical,70,170,Critical Intervention,3,8400,29.8961558
E05011468,2024,11,17.57112,Critical,70,170,Critical Intervention,3,8400,29.870904
E05013794,2023,7,17.54547,Critical,70,170,Critical Intervention,3,8400,29.827299000000004
E05013730,2024,4,17.499216,Critical,68,168,Critical Intervention,2,5440,29.398682880000003
E05011104,2024,5,17.471884,Critical,68,168,Critical Intervention,2,5440,29.35276512
E05013699,2023,9,17.325891,Critical,68,168,Critical Intervention,2,5440,29.10749688
E05013536,2023,10,17.268322,Critical,68,168,Critical Intervention,2,5440,29.010780960000005
E05009380,2023,9,17.223207,Critical,68,168,Critical Intervention,2,5440,28.934987760000002
E05013712,2023,12,17.15038,Critical,68,168,Critical Intervention,2,5440,28.8126384
E05013798,2024,4,17.121763,Critical,68,168,Critical Intervention,2,5440,28.764561840000006
E05013499,2020,12,17.055769,Critical,68,168,Critical Intervention,2,5440,28.653691920000004
E05013499,2023,11,17.04713,Critical,68,168,Critical Intervention,2,5440,28.639178400000002
E05014118,2024,11,16.955233,Critical,66,166,Critical Intervention,2,5280,28.145686780000002
E05009333,2024,11,16.837557,Critical,66,166,Critical Intervention,2,5280,27.950344620000003
E05009335,2024,1,16.833044,Critical,66,166,Critical Intervention,2,5280,27.942853040000003
E05011107,2024,11,16.746748,Critical,66,166,Critical Intervention,2,5280,27.799601680000002
E05013501,2020,11,16.707773,Critical,66,166,Critical Intervention,2,5280,27.73490318
E05013630,2024,12,16.699614,Critical,66,166,Critical Intervention,2,5280,27.72135924
E05013679,2024,11,16.670696,Critical,66,166,Critical Intervention,2,5280,27.673355360000002
E05014009,2023,8,16.664997,Critical,66,166,Critical Intervention,2,5280,27.663895020000002
E05011104,2024,11,16.294746,Critical,64,164,Critical Intervention,2,5120,26.723383440000003
E05009378,2024,12,16.264153,Critical,64,164,Critical Intervention,2,5120,26.673210920000002
E05013798,2024,10,16.206135,Critical,64,164,Critical Intervention,2,5120,26.578061400000003
E05013642,2020,11,16.178314,Critical,64,164,Critical Intervention,2,5120,26.532434960000003
E05013707,2023,11,16.114296,Critical,64,164,Critical Intervention,2,5120,26.42744544
E05013712,2024,9,16.096153,Critical,64,164,Critical Intervention,2,5120,26.397690920000002
E05014095,2021,10,16.091316,Critical,64,164,Critical Intervention,2,5120,26.38975824
E05014024,2023,11,16.088493,Critical,64,164,Critical Intervention,2,5120,26.385128520000002
E05009323,2024,12,16.04272,Critical,64,164,Critical Intervention,2,5120,26.310060800000002
E05013895,2024,9,15.883978,Critical,62,162,Critical Intervention,2,4960,25.732044360000003
E05014115,2023,8,15.882301,Critical,62,162,Critical Intervention,2,4960,25.729327620000003
E05009335,2024,12,15.861394,Critical,62,162,Critical Intervention,2,4960,25.695458280000004
E05011113,2024,7,15.842927,Critical,62,162,Critical Intervention,2,4960,25.665541740000002
E05011106,2023,7,15.816442,Critical,62,162,Critical Intervention,2,4960,25.622636040000003
E05013704,2020,11,15.800791,Critical,62,162,Critical Intervention,2,4960,25.59728142
E05009325,2024,12,15.713327,Critical,62,162,Critical Intervention,2,4960,25.45558974
E05014011,2020,11,15.701148,Critical,62,162,Critical Intervention,1,2480,25.435859760000003
E05013595,2021,9,15.619306,Critical,62,162,Critical Intervention,1,2480,25.303275720000002
E05013507,2023,8,15.577339,Critical,62,162,Critical Intervention,1,2480,25.235289180000002
E05013699,2024,10,15.56168,Critical,62,162,Critical Intervention,1,2480,25.2099216
E05009372,2020,12,15.544217,Critical,62,162,Critical Intervention,1,2480,25.18163154
E05013729,2023,7,15.504653,Critical,62,162,Critical Intervention,1,2480,25.117537860000002
E05009389,2020,11,15.3832035,Critical,60,160,Critical Intervention,1,2400,24.613125600000004
E05013701,2021,11,15.367494,Critical,60,160,Critical Intervention,1,2400,24.587990400000002
E05013649,2024,10,15.362413,Critical,60,160,Critical Intervention,1,2400,24.579860800000002
E05013719,2024,2,15.310472,Critical,60,160,Critical Intervention,1,2400,24.496755200000003
E05013730,2024,12,15.310377,Critical,60,160,Critical Intervention,1,2400,24.496603200000003
E05013639,2020,11,15.251602,Critical,60,160,Critical Intervention,1,2400,24.402563200000003
E05013694,2022,3,15.068535,Critical,60,160,Critical Intervention,1,2400,24.109656
E05009374,2020,11,14.973138,Critical,58,158,Critical Intervention,1,2320,23.65755804
E05013717,2021,8,14.897101,Critical,58,158,Critical Intervention,1,2320,23.537419579999998
E05013521,2023,8,14.885019,Critical,58,158,Critical Intervention,1,2320,23.51833002
E05013708,2021,11,14.876648,Critical,58,158,Critical Intervention,1,2320,23.50510384
E05013640,2020,11,14.856879,Critical,58,158,Critical Intervention,1,2320,23.47386882
E05013500,2023,8,14.821172,Critical,58,158,Critical Intervention,1,2320,23.417451760000002
E05011115,2021,7,14.815347,Critical,58,158,Critical Intervention,1,2320,23.40824826
E05009385,2021,11,14.763531,Critical,58,158,Critical Intervention,1,2320,23.32637898
E05014082,2024,11,14.752777,Critical,58,158,Critical Intervention,1,2320,23.309387660000002
E05014014,2024,1,14.694468,Critical,58,158,Critical Intervention,1,2320,23.217259440000003
E05009369,2021,1,14.689828,Critical,58,158,Critical Intervention,1,2320,23.20992824
